输入商标名,历史商标名,输入商标编号,历史商标编号,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
永之星,永幸,17173450,12549462,False,0.33,0.69,0.33,0.33,0.58,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,兴驰行,17173450,16028020,False,0.0,0.77,0.0,0.0,0.03,0.33,0.0,0.0,0.0,0.0,1,1,1
永之星,超值星,17173450,1670149,False,0.33,0.69,0.33,0.33,0.61,0.11,0.0,0.0,0.0,0.0,1,1,1
永之星,幸之星,17173450,4470704,False,0.67,0.85,0.67,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,形之秀,17173450,4470705,False,0.33,0.69,0.33,0.33,0.61,0.41,0.0,0.0,0.0,0.0,1,1,1
永之星,粤之星,17173450,11073527,False,0.67,0.77,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,星之然,17173450,8891895,False,0.33,0.62,0.33,0.67,0.59,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,乐智行,17173450,16614268,False,0.0,0.69,0.0,0.0,0.04,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,乐智行,17173450,16614319,False,0.0,0.69,0.0,0.0,0.04,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,立之行,17173450,16633358,False,0.33,0.69,0.33,0.33,0.63,0.44,0.0,0.0,0.0,0.0,1,1,1
永之星,三之星,17173450,16639941,False,0.67,0.77,0.67,0.67,0.92,0.35,0.0,0.0,0.0,0.0,1,1,1
永之星,星之辰,17173450,16633192,False,0.33,0.54,0.33,0.67,0.63,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,亚之兴,17173450,15672888,False,0.33,0.77,0.33,0.33,0.59,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴,17173450,15685524,False,0.33,0.69,0.33,0.33,0.63,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,车之行,17173450,15678485,False,0.33,0.69,0.33,0.33,0.6,0.39,0.0,0.0,0.0,0.0,1,1,1
永之星,钢之星,17173450,15712135,False,0.67,0.85,0.67,0.67,0.92,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,星之地,17173450,15732471,False,0.33,0.54,0.33,0.67,0.65,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,星之彩,17173450,15743486,False,0.33,0.54,0.33,0.67,0.61,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,星之彩,17173450,15743347,False,0.33,0.54,0.33,0.67,0.61,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,星之光,17173450,12017256,False,0.33,0.64,0.33,0.67,0.62,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,苑之星,17173450,11985562,False,0.67,0.77,0.67,0.67,0.92,0.62,0.0,0.0,0.0,0.0,1,1,1
永之星,七志星,17173450,16324691,False,0.33,0.69,0.33,0.33,0.59,0.54,0.0,0.0,0.0,0.0,1,1,1
永之星,绿之行,17173450,16309944A,False,0.33,0.69,0.33,0.33,0.65,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,永兴旺,17173450,16303729,False,0.33,0.57,0.33,0.33,0.59,0.74,0.0,0.0,0.0,0.0,1,1,1
永之星,早之星,17173450,16288151,False,0.67,0.69,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,勇之心,17173450,16285661,False,0.33,0.92,0.33,0.33,0.62,0.56,0.0,0.0,0.0,0.0,1,1,1
永之星,星之悦,17173450,16336505,False,0.33,0.54,0.33,0.67,0.6,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,群智星,17173450,16341906,False,0.33,0.77,0.33,0.33,0.61,0.47,0.0,0.0,0.0,0.0,1,1,1
永之星,灶之星,17173450,12086101,False,0.67,0.69,0.67,0.67,0.92,0.63,0.0,0.0,0.0,0.0,1,1,1
永之星,丽之星,17173450,12107443,False,0.67,0.69,0.67,0.67,0.92,0.68,0.0,0.0,0.0,0.0,1,1,1
永之星,之星,17173450,8630449,False,0.67,0.62,0.67,0.67,0.91,0.0,0.0,0.0,0.0,0.0,1,1,1
永之星,习之星,17173450,14133855,False,0.67,0.69,0.67,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
永之星,穗之星,17173450,4094143,False,0.67,0.69,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,华之星,17173450,10789614,False,0.67,0.69,0.67,0.67,0.92,0.59,0.0,0.0,0.0,0.0,1,1,1
永之星,衣之行,17173450,3701139,False,0.33,0.77,0.33,0.33,0.63,0.67,0.0,0.0,0.0,0.0,1,1,1
永之星,靓之星,17173450,13285736,False,0.67,0.85,0.67,0.67,0.91,0.35,0.0,0.0,0.0,0.0,1,1,1
永之星,迅之星,17173450,4441734,False,0.67,0.77,0.67,0.67,0.91,0.7,0.0,0.0,0.0,0.0,1,1,1
永之星,医之星,17173450,3017851,False,0.67,0.77,0.67,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,蓉之星,17173450,3389882,False,0.67,0.92,0.67,0.67,0.91,0.61,0.0,0.0,0.0,0.0,1,1,1
永之星,金织星,17173450,10978049,False,0.33,0.77,0.33,0.33,0.63,0.58,0.0,0.0,0.0,0.0,1,1,1
永之星,夏之星,17173450,17006685,False,0.67,0.69,0.67,0.67,0.92,0.6,0.0,0.0,0.0,0.0,1,1,1
永之星,星狮行,17173450,17006954,False,0.0,0.77,0.33,0.33,0.08,0.22,0.0,0.0,0.0,0.0,1,1,1
永之星,杏之坊,17173450,11685940,False,0.33,0.69,0.33,0.33,0.63,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,泰致兴,17173450,11721844,False,0.0,0.69,0.0,0.0,0.03,0.37,0.0,0.0,0.0,0.0,1,1,1
永之星,水之星,17173450,1006443,False,0.67,0.69,0.67,0.67,0.92,0.87,0.0,0.0,0.0,0.0,1,1,1
永之星,潮之星,17173450,15440310,False,0.67,0.69,0.67,0.67,0.92,0.58,0.0,0.0,0.0,0.0,1,1,1
