输入商标名,历史商标名,输入商标编号,历史商标编号,所属大类,两个商标有共同小项？,汉字编辑距离相似度,拼音相似度,汉字包含被包含,汉字排列组合,汉字含义相近,汉字字形相似度,英文编辑距离相似度,英文包含被包含,英文排列组合,数字完全匹配,商标状态,历史商标状态,是否相似商标
黛茵丝,黛菲斯,16538871,15652750,25,True,0.33,0.7,0.33,0.33,0.62,0.56,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,黛斯妮,16538871,9539905,25,True,0.33,0.7,0.33,0.33,0.6,0.65,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,梦茵黛,16538871,15790290,25,True,0.33,0.5,0.33,0.67,0.63,0.7,0.0,0.0,0.0,0.0,1,1,1
黛茵丝,戴茵梦,16538871,15791871,25,True,0.33,0.67,0.33,0.33,0.63,0.5,0.0,0.0,0.0,0.0,1,1,1
滨莉萱 BIVLIXAH,茜茜库奇,16425912,3882685,25,True,0.0,0.4,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,0
戴丝琳,黛姿琳,16538869,15349843,25,True,0.33,0.9,0.33,0.33,0.62,0.41,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,伊思琳,16538869,12196731,25,True,0.33,0.8,0.33,0.33,0.61,0.43,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,范思琳,16538869,14868229,25,True,0.33,0.8,0.33,0.33,0.58,0.39,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,蕾思琳,16538869,16525618,25,True,0.33,0.8,0.33,0.33,0.61,0.38,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛娇琳,16538869,13741343,25,True,0.33,0.75,0.33,0.33,0.62,0.37,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛思慕,16538869,15852050,25,True,0.0,0.7,0.0,0.0,0.03,0.37,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,琳姿戴,16538869,12231874,25,True,0.0,0.3,0.33,0.67,0.01,0.78,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,铂斯琳,16538869,8817285,25,True,0.33,0.7,0.33,0.33,0.63,0.44,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛迷丝,16538869,5161397,25,True,0.0,0.7,0.33,0.33,0.08,0.61,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛斯堡,16538869,12607638,25,True,0.0,0.7,0.0,0.0,0.02,0.41,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛思佳,16538869,9831765,25,True,0.0,0.8,0.0,0.0,0.02,0.35,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,芬琳丝,16538869,4458277,25,True,0.0,0.3,0.33,0.67,0.04,0.68,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,欧丝戴,16538869,11090748,25,True,0.33,0.4,0.33,0.67,0.61,0.78,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,戴丹丝,16538869,16333798,25,True,0.33,0.5,0.33,0.67,0.61,0.72,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛丝丹,16538869,16291071,25,True,0.33,0.8,0.33,0.33,0.6,0.53,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛丝秀,16538869,12080691,25,True,0.33,0.8,0.33,0.33,0.62,0.61,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛美琳,16538869,14132458,25,True,0.33,0.82,0.33,0.33,0.58,0.4,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛丝锦,16538869,3699103,25,True,0.33,0.9,0.33,0.33,0.61,0.6,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,娜思琳,16538869,13301595,25,True,0.33,0.8,0.33,0.33,0.6,0.43,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛尼斯,16538869,10973767,25,True,0.0,0.7,0.0,0.0,0.01,0.34,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,罗丝琳,16538869,12173514,25,True,0.67,0.7,0.67,0.67,0.91,0.62,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛思芬,16538869,11680795,25,True,0.0,0.8,0.0,0.0,0.01,0.38,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,玛思琳,16538869,14518925,25,True,0.33,0.8,0.33,0.33,0.64,0.46,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,洛丝琳,16538869,9728575,25,True,0.67,0.7,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛思柔,16538869,16186335,25,True,0.0,0.7,0.0,0.0,0.07,0.39,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,秀思琳,16538869,11122717,25,True,0.33,0.7,0.33,0.33,0.58,0.39,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛绮丝,16538869,11379778,25,True,0.0,0.7,0.33,0.33,0.01,0.61,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛思颖,16538869,15644759,25,True,0.0,0.82,0.0,0.0,0.04,0.4,0.0,0.0,0.0,0.0,1,1,1
戴丝琳,黛斯妮,16538869,9539905,25,True,0.0,0.8,0.0,0.0,0.07,0.4,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,斐原 FEIRAW,16538868,16249851,25,True,0.0,0.67,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,戴妃,16538868,9477139,25,True,0.67,0.58,0.67,0.67,0.93,0.0,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,黛妃燕,16538868,7726696,25,True,0.33,0.92,0.33,0.33,0.64,0.67,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,黛菲兰,16538868,15559559,25,True,0.0,0.83,0.0,0.0,0.07,0.46,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,黛妃奴,16538868,13456267,25,True,0.33,0.75,0.33,0.33,0.59,0.61,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,翡翠缘,16538868,7206901,25,True,0.0,0.67,0.0,0.0,0.03,0.41,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,黛菲斯,16538868,15652750,25,True,0.0,0.67,0.0,0.0,0.01,0.29,0.0,0.0,0.0,0.0,1,1,1
戴妃媛,黛妃秀,16538868,15473616,25,True,0.33,0.67,0.33,0.33,0.57,0.58,0.0,0.0,0.0,0.0,1,1,1
知语者,芷钰妮,20109451,13482879,25,True,0.0,0.7,0.0,0.0,0.01,0.27,0.0,0.0,0.0,0.0,1,1,1
知语者,至者,20109451,17106847,25,True,0.33,0.7,0.33,0.33,0.61,0.0,0.0,0.0,0.0,0.0,1,1,1
知语者,探知者,20109451,18858503,25,True,0.33,0.45,0.33,0.67,0.59,0.6,0.0,0.0,0.0,0.0,1,1,1
知语者,知着,20109451,18921363,25,True,0.33,0.7,0.33,0.33,0.59,0.0,0.0,0.0,0.0,0.0,1,1,1
知语者,恋知语,20109451,16519773,25,True,0.33,0.18,0.67,0.67,0.64,0.8,0.0,0.0,0.0,0.0,1,1,1
知语者,足知语,20109451,16072776,25,True,0.33,0.3,0.67,0.67,0.66,0.75,0.0,0.0,0.0,0.0,1,1,1
知语者,知足者,20109451,1677210,25,True,0.67,0.9,0.33,0.67,0.91,0.81,0.0,0.0,0.0,0.0,1,1,1
知语者,鲸语者,20109451,11527057,25,True,0.67,0.64,0.67,0.67,0.91,0.5,0.0,0.0,0.0,0.0,1,1,1
知语者,狮语者,20109451,11527135,25,True,0.67,0.9,0.67,0.67,0.91,0.57,0.0,0.0,0.0,0.0,1,1,1
知语者,鳄语者,20109451,11527120,25,True,0.67,0.7,0.67,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
知语者,鲨语者,20109451,11527140,25,True,0.67,0.8,0.67,0.67,0.91,0.66,0.0,0.0,0.0,0.0,1,1,1
知语者,指路者,20109451,16671980,25,True,0.33,0.9,0.33,0.33,0.59,0.7,0.0,0.0,0.0,0.0,1,1,1
知语者,赐御者,20109451,15540556,25,True,0.33,0.8,0.33,0.33,0.6,0.42,0.0,0.0,0.0,0.0,1,1,1
知语者,逃域者,20109451,15978664,25,True,0.33,0.7,0.33,0.33,0.63,0.67,0.0,0.0,0.0,0.0,1,1,1
知语者,耳语者,20109451,10679468,25,True,0.67,0.7,0.67,0.67,0.91,0.71,0.0,0.0,0.0,0.0,1,1,1
知语者,象语者,20109451,14634538,25,True,0.67,0.58,0.67,0.67,0.91,0.59,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,婉黛婷,16538872,13920335,25,True,0.33,0.58,0.33,0.67,0.59,0.64,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,戴依挺,16538872,13632873,25,True,0.0,0.92,0.0,0.0,0.02,0.39,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛姿挺,16538872,16492432,25,True,0.33,0.83,0.33,0.33,0.63,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛茵芬,16538872,7563437,25,True,0.67,0.75,0.67,0.67,0.92,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛富婷,16538872,8010956,25,True,0.67,0.75,0.33,0.67,0.91,0.81,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,茵诗婷,16538872,15421804,25,True,0.33,0.5,0.33,0.67,0.6,0.8,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,优黛婷,16538872,15913512,25,True,0.33,0.5,0.33,0.67,0.58,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,爱黛婷,16538872,9073570,25,True,0.33,0.67,0.33,0.67,0.62,0.61,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,妍黛婷,16538872,16031649,25,True,0.33,0.58,0.33,0.67,0.62,0.64,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,慕黛婷,16538872,16030645,25,True,0.33,0.5,0.33,0.67,0.59,0.86,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,玳婷,16538872,14621700,25,True,0.33,0.67,0.33,0.33,0.59,0.0,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,俏黛婷,16538872,12644549,25,True,0.33,0.54,0.33,0.67,0.64,0.81,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,悦黛婷,16538872,12644312,25,True,0.33,0.5,0.33,0.67,0.61,0.61,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛娇婷,16538872,6057514,25,True,0.67,0.77,0.33,0.67,0.92,0.64,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,虹黛婷,16538872,15721779,25,True,0.33,0.46,0.33,0.67,0.58,0.61,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,戴必挺,16538872,15394214,25,True,0.0,0.83,0.0,0.0,0.02,0.39,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,宝黛婷,16538872,12698818,25,True,0.33,0.58,0.33,0.67,0.63,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛波挺,16538872,7776883,25,True,0.33,0.75,0.33,0.33,0.59,0.56,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,婷黛尔,16538872,14571225,25,True,0.0,0.08,0.33,0.67,0.02,0.47,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,卡黛婷,16538872,13375306,25,True,0.33,0.58,0.33,0.67,0.62,0.58,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,吟蜓,16538872,5836013,25,True,0.0,0.67,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,思黛婷,16538872,12590646,25,True,0.33,0.58,0.33,0.67,0.61,0.61,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,瑞黛婷,16538872,16114139,25,True,0.33,0.58,0.33,0.67,0.63,0.82,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,卡茵黛,16538872,15655972,25,True,0.33,0.5,0.33,0.67,0.61,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,黛婷,16538872,6729455,25,True,0.67,0.67,0.33,0.67,0.92,0.0,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,梦茵黛,16538872,15790290,25,True,0.33,0.33,0.33,0.67,0.63,0.78,0.0,0.0,0.0,0.0,1,1,1
黛茵婷,戴茵梦,16538872,15791871,25,True,0.33,0.83,0.33,0.33,0.61,0.58,0.0,0.0,0.0,0.0,1,1,1
